name,amenity,highway,barrier,landuse,lat,lon
Amruth Park Land,restaurant,,,,12.8835332,77.7502633
Verka Milk Bar,fast_food,,,,30.2898333,75.8337204
Petrol Pump,fuel,,,,30.3277581,75.8445136
Indian Oil,fuel,,,,30.5290986,75.8882206
Sodi Non-veg Dhaba,restaurant,,,,30.6998409,75.8477565
Indian Oil,fuel,,,,11.0676625,77.0998701
Bharat Petroleum,fuel,,,,11.0740038,77.10848
HP,fuel,,,,11.0813425,77.1213385
Hindusthan Petroleum,fuel,,,,11.0784089,76.9418801
ARC Bharat Petroleum,fuel,,,,11.0275851,76.9514438
Adyar Ananda Bhavan,restaurant,,,,11.0163701,76.9711837
HP,fuel,,,,13.0311284,80.2394414
Bharat Petroleum,fuel,,,,12.9356671,77.6144578
Satwant,fuel,,,,31.1921215,75.7735516
P Pump,fuel,,,,31.116591,75.7760201
P Pump,fuel,,,,31.1391976,75.7748858
P Pump,fuel,,,,31.0584601,75.7817958
P Pump,fuel,,,,30.9490476,75.8270449
Damla toll plaza,,,toll_booth,,30.0806023,77.2098581
Shanthi Petrol Station,fuel,,,,12.9935494,80.1850866
Grey Pelican,restaurant,,,,30.1158119,77.2908314
HP,fuel,,,,28.5737882,77.2089741
Shanti Sagar,restaurant,,,,12.9606568,77.6385011
Srinidhi Sagar,fast_food,,,,12.9593353,77.6385869
Nandhini,restaurant,,,,12.9619513,77.6419064
Garuda Mall Parking,parking,,,,12.9703806,77.6094191
Nandhana,restaurant,,,,12.9558995,77.6411692
Saravana Bhavan,fast_food,,,,13.0345162,80.2690082
KFC,fast_food,,,,12.9781109,77.6385637
HP,fuel,,,,13.0534169,80.252032
Attibele (BETL),,,toll_booth,,12.7767003,77.77696
Krishnagiri,,,toll_booth,,12.5446531,78.2013265
Essar,fuel,,,,12.5508401,80.1424203
HP,fuel,,,,13.0427775,80.2677547
Sukh Sagar,restaurant,,,,12.9741824,77.5753745
Amoli Toll Plaza,,,toll_booth,,27.101285,77.0909115
Ludhewai Toll Plaza,,,toll_booth,,27.178445,77.4168352
DND Toll booth,,,toll_booth,,28.5762293,77.3038877
Simply Native,restaurant,,,,12.9651393,77.6383211
Subway,fast_food,,,,12.9637134,77.6403936
Adyar Ananda Bhavan,restaurant,,,,12.9543746,77.5930172
HP,fuel,,,,13.0184727,80.2614032
Petrol Pump,fuel,,,,30.9412387,75.8345718
Indian Oil,fuel,,,,13.0421221,80.2684202
Indian Oil,fuel,,,,11.2164596,77.0850864
Indian Oil,fuel,,,,11.1273864,77.0303319
HP,fuel,,,,11.08003,77.0042231
Indian Oil,fuel,,,,11.039519,76.9805839
HP,fuel,,,,11.0153511,76.9676319
BP,fuel,,,,11.012646,76.9673432
Pizza Hut,restaurant,,,,13.0055904,80.251822
Bharat Petrol Pump,fuel,,,,17.4272158,78.5310796
Tarnaka Agencies Petrol Pump,fuel,,,,17.4267938,78.5314488
Taj Tristar,restaurant,,,,17.4414402,78.4935002
Planet Yumm,fast_food,,,,12.9969184,80.2713903
Rendevous,restaurant,,,,11.9282536,79.8329207
Indian Oil,fuel,,,,12.0143543,79.8583103
Bharat Petroleum,fuel,,,,12.026085,79.8617063
Indian Oil Petrol Pump,fuel,,,,12.183598,79.9395673
Motel Mamalla,restaurant,,,,12.6327585,80.1960361
Indian Oil Petrol Pump,fuel,,,,12.6379872,80.1984054
ECR Dhaba,restaurant,,,,12.799447,80.2420745
Indian Oil,fuel,,,,12.9097046,80.2503011
Basera,restaurant,,,,12.9329807,80.2517763
Ladies Mess,restaurant,,,,12.9875968,80.2422869
Two wheeler parking shed,parking,,,,12.9893138,80.2307831
Narbal Fuel Filling Station,fuel,,,,34.1206935,74.6836443
Indian Oil Petrol Pump,fuel,,,,34.1091198,74.7467304
Maami's Mess,restaurant,,,,13.0324107,80.2704268
Mayilai Sri Karpagambal Mess,restaurant,,,,13.0327388,80.2712197
Sangeetha,restaurant,,,,13.0323689,80.2676459
Vasantha Bhavan,restaurant,,,,13.0322517,80.2685043
Adyar Ananda Bhavan,restaurant,,,,13.0340003,80.2677522
Rayer Mess,restaurant,,,,13.0355223,80.273014
GNC Tollgate,,,toll_booth,,13.6728944,79.3512012
Sri Angannan Briyani Hotel,restaurant,,,,10.9977025,76.9615688
Benjarong,restaurant,,,,13.0313113,80.2513502
Okadeys,restaurant,,,,13.0384527,80.2567668
Amaravati,restaurant,,,,13.0451417,80.2592552
Kalpaka,restaurant,,,,13.0468725,80.2605083
Madras Cafe,restaurant,,,,13.0008164,80.2043612
Buzz and Breeze,restaurant,,,,8.7331306,76.7058692
The surfer Cafe,restaurant,,,,8.733592,76.7054464
Theeram,restaurant,,,,8.733699,76.7053335
Oottupura Vegetarian Restaurant,restaurant,,,,8.7361447,76.7041425
BGL surf and bistro,restaurant,,,,8.7366466,76.7032221
Sky Lounge,restaurant,,,,8.7372184,76.7026727
Sea View,restaurant,,,,8.7374132,76.7024845
Cafe del Mar,restaurant,,,,8.7376457,76.7019002
Blue Moon Hut,restaurant,,,,8.7381454,76.7006195
Sunrise,restaurant,,,,8.738181,76.7003259
Darjeeling Cafe,restaurant,,,,8.7402388,76.6997223
Sital,restaurant,,,,29.4889927,79.6302815
Anand Thali,restaurant,,,,18.5009808,73.9448522
Garden IceCream,restaurant,,,,17.9352613,73.6879604
Toll Naka,,,toll_booth,,19.2569911,72.8712932
TATA Warehouse,,,,industrial,19.34143,72.89292
Dara's Dhaba,restaurant,,,,19.2767754,72.8889843
Haveli Inn,restaurant,,,,19.2933669,72.9052748
Toll Boooth,,,toll_booth,,17.92282,73.7869299
RELIANCE PETROL PUMP,fuel,,,,15.99884,73.69355
LAXMINARYAN PETROL PUMP,fuel,,,,16.0019235,73.6928674
Reliance Petroleum,fuel,,,,18.5724636,73.1192146
Petrol pump,fuel,,,,18.52432,73.15384
Visawa Hotel,restaurant,,,,18.0876201,73.4422299
Blue Water,restaurant,,,,8.7502824,76.694251
Adyar Ananda Bhavan,restaurant,,,,12.9968115,80.2582413
Aravusala,,,,industrial,10.3377268,76.221943
Rice &Fish Restaurant,restaurant,,,,10.0143,76.33419
Indian Oil,fuel,,,,17.4380252,78.3996269
KFC,fast_food,,,,17.4507642,78.3793915
Pizza Corner,fast_food,,,,17.4506168,78.3792198
Windows of the World,restaurant,,,,17.4502975,78.3816574
Little Italy,restaurant,,,,13.0609985,80.2475712
Pizza Hut,restaurant,,,,13.065426,80.2432841
Mainland China,restaurant,,,,13.0659169,80.2421706
Pathans Veg. Hotel,restaurant,,,,10.52236,76.2140665
TIBBS Frankies,fast_food,,,,19.0550612,72.8307379
Good Luck Restaurant,restaurant,,,,19.0517569,72.8240813
Wonton House,restaurant,,,,19.0548375,72.8258975
Novelty,restaurant,,,,13.0889622,80.2790177
Annapurna,restaurant,,,,13.0747305,80.2626235
Indian Oil,fuel,,,,28.3732657,75.5881903
Mahadev,fuel,,,,29.9796611,76.0393497
Petrol Pump,fuel,,,,29.7348289,75.906434
Malgudi Restaurant,restaurant,,,,17.4846794,78.3899283
Indian Oil Madhapur,fuel,,,,17.4407798,78.3913972
Olive Garden,restaurant,,,,17.4450343,78.3859699
Koshy's,restaurant,,,,12.9756318,77.6014761
Gowri Shankar,restaurant,,,,8.1981134,77.3842959
Indian Oil,fuel,,,,12.5123657,80.1608834
Barbecue Nation,restaurant,,,,13.0454388,80.2331563
Saravana Bhavan pur Veg,restaurant,,,,10.0872093,77.059678
GHMC Parking,parking,,,,17.4401957,78.4422214
Bharat Petroleum,fuel,,,,26.9156543,70.9080785
Sparkys Diner,restaurant,,,,13.0729298,80.2526113
Golden Palate Veg,restaurant,,,,12.618747,80.1938388
Sea Shore Restaurant,restaurant,,,,12.6196539,80.1982018
Santana Beach,restaurant,,,,12.6198269,80.1981926
Mamalla Bhavan,restaurant,,,,12.6169289,80.1935601
Saravana Bhavan,fast_food,,,,12.8375981,79.7039669
Ariya Nivas,restaurant,,,,8.4887851,76.9537694
Suprabatham Veg.,restaurant,,,,8.3860047,76.980052
HP,fuel,,,,12.5293607,80.1649422
Kalpakkam Canteen,fast_food,,,,12.5029186,80.1545529
Haldiram's,fast_food,,,,13.0453726,80.2669904
Maharaja,restaurant,,,,13.0633479,80.2739101
Domino's,fast_food,,,,28.6457998,77.1722681
Bowl O China,restaurant,,,,17.4393202,78.4473624
Essar petrol station musliarangadi,fuel,,,,11.1296431,76.0057173
"Don Pepe, Copper Chimney",restaurant,,,,13.0458581,80.258173
Adyar Ananda Bhavan,restaurant,,,,12.6273756,80.1943135
Paneer soda shop,restaurant,,,,13.0322882,80.2709135
Corner Juice Shop,restaurant,,,,13.0333788,80.2569388
Subway,fast_food,,,,13.0614085,80.2487161
Wangs Kitchen,restaurant,,,,13.0610272,80.2481523
Casa Picola,restaurant,,,,13.0607599,80.2512477
Domino's,fast_food,,,,13.0354864,80.2496631
US Pizza,restaurant,,,,13.0368042,80.2553943
The Wanton,restaurant,,,,13.0308675,80.2547014
Shell,fuel,,,,13.0247047,80.2065279
HP,fuel,,,,13.0200917,80.1853891
Bombay Halwa House,restaurant,,,,13.0383754,80.2674307
Mathsya,restaurant,,,,13.0750359,80.2581673
BP,fuel,,,,13.0116259,80.2185178
Marrybrown,fast_food,,,,13.0717985,80.2029951
Hotel Sangeetha,restaurant,,,,13.0717149,80.2030895
Adyar Ananda Bhavan,restaurant,,,,13.0718906,80.2028921
Indian Oil,fuel,,,,13.0696245,80.1996608
HP,fuel,,,,13.0158863,80.2048651
Ajnabee Snacks,restaurant,,,,13.0677438,80.2566293
Asli Punjabi Rasoi Ghar,restaurant,,,,13.0650516,80.2589124
Indian Oil,fuel,,,,13.0347707,80.2109563
Indian Oil,fuel,,,,13.0231114,80.2063585
Bombay Halwa House,restaurant,,,,13.0688689,80.2717553
BP,fuel,,,,13.0127799,80.2222772
BP,fuel,,,,13.0112743,80.2229232
Noodle House,restaurant,,,,13.0654928,80.2431296
Indainoil,fuel,,,,13.0259345,80.1753026
Shell,fuel,,,,13.0310451,80.1651264
Dominoes Pizza,restaurant,,,,13.0316532,80.1640666
HP,fuel,,,,13.0465921,80.1197732
Indian Oil,fuel,,,,13.0402991,80.1304112
Bharat Petroleum,fuel,,,,13.0386047,80.1330017
Hindustan Petroleum,fuel,,,,13.0421889,80.1237763
Indian Oil,fuel,,,,13.0322135,77.5698943
HP,fuel,,,,13.0265542,80.2324615
Subway,fast_food,,,,13.0266378,80.2326761
Indian Oil,fuel,,,,13.044528,80.2634018
Lemongrass,restaurant,,,,13.0287554,80.253254
Grains of Paradise,restaurant,,,,13.0276871,80.2526956
Cream Centre,restaurant,,,,13.026914,80.2556765
HP Petrol Bunk,fuel,,,,13.0277462,80.2512876
In Seoul,restaurant,,,,13.0321755,80.2521158
The Crown,restaurant,,,,13.0403208,80.2437255
Paprika,restaurant,,,,13.0460421,80.2476349
Aqua,restaurant,,,,13.0529661,80.2500813
Lotus,restaurant,,,,13.0528789,80.2498533
Hip Asia,restaurant,,,,13.0630743,80.2612723
Akasaka,restaurant,,,,12.9881641,80.2556827
Lemon grass,restaurant,,,,12.5458091,76.9483858
Sri Prabhudeva Service Station,fuel,,,,12.3927526,76.6669578
Bombay Halwa House,restaurant,,,,13.0851955,80.2449931
Thaali Corner,restaurant,,,,13.0851761,80.2447589
Sri Sarvana Bhavan,restaurant,,,,13.0510228,80.0944083
Cornucopia,restaurant,,,,13.0307571,80.2457033
Dhaba Express,restaurant,,,,13.0312456,80.2460431
Saravana Bhavan,fast_food,,,,13.044333,80.2644982
Parvathi Bhavan,restaurant,,,,13.0387921,80.2570003
Moga Oil Store,fuel,,,,30.829337,75.0980695
Cilantro,restaurant,,,,13.0064035,80.2057624
Navratna,restaurant,,,,13.0062581,80.2057624
Kayal,restaurant,,,,13.0061052,80.2057662
Indian Oil,fuel,,,,28.2444353,77.0725091
Makkhan Sweets,restaurant,,,,13.0311615,80.2459839
HP,fuel,,,,13.0949946,80.2927844
Railway Station Civil Lines Parking,parking,,,,30.91148,75.8473526
Hill View Cottage Mess,restaurant,,,,13.6741011,79.3485323
Anna Dhanam,restaurant,,,,13.682454,79.3497593
TBC,restaurant,,,,13.6778578,79.3435418
SVGH,restaurant,,,,13.6792104,79.340929
Kalsi,fuel,,,,30.1741001,74.929439
Holiday Home,restaurant,,,,30.2128179,74.9403567
Petrol Pump,fuel,,,,30.2126399,74.9444594
McDonald's,fast_food,,,,30.550006,76.4868812
Om Sweets,fast_food,,,,28.4529218,77.050279
Bharat Petroleum,fuel,,,,28.5229363,77.0996758
Indian Oil,fuel,,,,28.5248952,77.100967
M M A Kababs,restaurant,,,,12.9566296,77.7152069
HP Auto Care,fuel,,,,12.9812136,77.6570884
Amudha Surabi Petrol Bunk,fuel,,,,11.9499033,79.8142629
Food Village,restaurant,,,,12.9278334,80.2521808
Ruchit Palace,restaurant,,,,19.0971923,73.0259339
Naveidyam,restaurant,,,,28.4649041,77.0789762
Pizza Hut,restaurant,,,,12.9856448,80.2459383
Pupil,fast_food,,,,13.0010132,80.2709043
By The Bay,restaurant,,,,13.0012892,80.2712305
Cozee,fast_food,,,,13.0010049,80.2708185
Tasty Jones,restaurant,,,,13.0010216,80.2706983
Dhaba Express,restaurant,,,,13.0007325,80.2704376
Hotel Balaji,restaurant,,,,13.00057,80.2662523
Eden,restaurant,,,,12.9970909,80.2679346
Besant Fast Food,fast_food,,,,13.0005366,80.2667244
Pizza Hut,restaurant,,,,12.9782249,77.640632
Konārk,restaurant,,,,12.9688102,77.6021434
Kamat Nandanvan,restaurant,,,,13.0492109,77.547547
Hard Rock Cafe,restaurant,,,,12.9762256,77.6014809
Sri Raghavendra,restaurant,,,,12.9778503,77.5722059
Anand Sagar Punjabi Dhaba,restaurant,,,,12.9760075,77.5763577
Kovoor Petrol Pump,fuel,,,,11.2710933,75.8319857
Mavalli Tiffin Rooms,restaurant,,,,12.9550389,77.5854279
Hyderbad Biryani House,restaurant,,,,12.9665538,77.6141032
Kariyamangalam Toll Plaza,,,toll_booth,,12.2882508,78.828471
Flavours Restaurant,restaurant,,,,28.5663466,77.2340571
